Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
LR,1,51.54,1.67,40.73,0.95,96.29,2.28,8.04,4.07,7.65,4.73,14.27,7.21,56.19,2.65,69.49,2.45,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 0.001}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,2,52.3,1.76,42.39,2.76,96.56,1.93,10.41,7.25,10.67,7.76,17.71,11.53,58.66,2.52,70.6,3.23,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 0.001}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,3,52.83,2.2,42.49,2.77,96.3,2.29,10.71,7.32,10.5,8.02,18.15,11.78,60.27,4.52,71.19,3.76,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 0.001}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,4,53.78,1.83,43.52,2.57,95.51,2.11,12.95,5.18,13.24,5.95,22.07,7.73,61.78,4.72,72.83,2.0,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,5,53.72,1.78,43.52,2.68,95.8,1.56,12.79,5.34,13.42,6.08,21.83,8.03,61.87,4.71,72.92,2.09,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,6,53.74,1.78,43.21,2.57,95.8,1.56,12.31,4.9,12.89,5.91,21.14,7.42,61.97,4.7,72.91,2.09,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,7,54.4,0.55,44.64,2.03,95.53,1.61,14.73,4.79,15.49,4.61,24.8,7.09,63.99,4.0,74.24,1.98,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,8,54.88,1.31,45.35,1.82,94.67,2.77,16.3,5.58,15.93,4.44,26.88,8.06,63.63,3.7,74.1,1.81,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,9,55.13,1.13,46.68,2.85,94.4,2.98,18.62,6.46,18.08,4.42,30.01,8.85,64.23,4.54,74.69,1.85,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,10,55.02,1.14,46.57,2.84,94.4,2.98,18.45,6.41,17.92,4.22,29.78,8.75,64.13,4.62,74.63,1.9,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,11,55.1,1.12,45.96,1.8,93.31,3.89,18.12,5.54,16.06,3.59,29.27,7.49,64.45,4.77,74.83,2.11,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,12,55.09,1.11,46.26,1.96,92.72,3.36,18.94,5.54,15.93,3.05,30.34,7.39,64.67,4.72,74.99,2.09,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
